"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Australia","2021","Total","Both Sexes","CANBERRA","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","452670","3,4,5"
"Australia","2021","Total","Both Sexes","CANBERRA","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","453558","2"
"Australia","2021","Total","Both Sexes","Canberra-Queanbeyan","City proper","Estimate - de jure","Final figure, complete","2023","516922","2"
"Australia","2021","Total","Both Sexes","Canberra-Queanbeyan","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","490179","3,4,5"
"Australia","2021","Total","Both Sexes","Central Coast","City proper","Estimate - de jure","Final figure, complete","2023","348379","2"
"Australia","2021","Total","Both Sexes","Central Coast","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","325255","3,4,5"
"Australia","2021","Total","Both Sexes","Darwin","City proper","Estimate - de jure","Final figure, complete","2023","85397","2"
"Australia","2021","Total","Both Sexes","Darwin","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","122207","3,4,5"
"Australia","2021","Total","Both Sexes","Darwin","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","135305","2"
"Australia","2021","Total","Both Sexes","Geelong","City proper","Estimate - de jure","Final figure, complete","2023","270776","2"
"Australia","2021","Total","Both Sexes","Geelong","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","180239","3,4,5"
"Australia","2021","Total","Both Sexes","Geelong","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","289400","2"
"Australia","2021","Total","Both Sexes","Gold Coast","City proper","Estimate - de jure","Final figure, complete","2023","633764","2"
"Australia","2021","Total","Both Sexes","Gold Coast","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","607665","3,4,5"
"Australia","2021","Total","Both Sexes","Gold Coast","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","649659","2"
